ORG_ID,ORG_NAME,ORG_TYPE,STATUS,ADDRESS_1,ADDRESS_2,ADDRESS_3,STATE,PCODE,GEO_ZONE,GEO_SUBZONE,LATITUDE,LONGITUDE
225189,ALBURY EAST LPO,LPO,OPEN,,561 SCHUBACH STREET,ALBURY NSW,NSW,2640,Rural,Large Rural,-36.08066,146.92875
225197,ALBURY NORTH LPO,LPO,OPEN,,881 MATE STREET,ALBURY NORTH NSW,NSW,2640,Rural,Large Rural,-36.06306,146.93215
225226,ALEXANDRIA POST SHOP,RP,OPEN,,1 MITCHELL ROAD,ALEXANDRIA NSW,NSW,2015,Metro,Capital,-33.89752,151.19555
225234,ALLAMBIE HEIGHTS LPO,LPO,OPEN,,SHOP 5 141-151 ALLAMBIE ROAD,ALLAMBIE HEIGHTS NSW,NSW,2100,Metro,Capital,-33.765541,151.250429
225242,ALLAWAH LPO,LPO,OPEN,,454 RAILWAY PARADE,ALLAWAH NSW,NSW,2218,Metro,Capital,-33.97012,151.11495
225250,AIRDS LPO,LPO,OPEN,AIRDS VILLAGE SHOPPING CENTRE,SHOP 13 42 RIVERSIDE DRIVE,AIRDS NSW,NSW,2560,Metro,Capital,-34.08463,150.82878
225269,BLENHEIM ROAD LPO,LPO,OPEN,,8 BLENHEIM ROAD,NORTH RYDE NSW,NSW,2113,Metro,Capital,-33.80102,151.13085
225277,ALSTONVILLE POST SHOP,RP,OPEN,THE PLAZA,SHOP 44 8-20 ROBERTSON STREET,ALSTONVILLE NSW,NSW,2477,Rural,Small Rural,-28.84371,153.439992
225285,ANNA BAY LPO,LPO,OPEN,,SHOP 7 118 GAN GAN ROAD,ANNA BAY NSW,NSW,2316,Metro,Other Metro,-32.77771,152.08372
225293,ANNANDALE POST SHOP,RP,OPEN,,115 BOOTH STREET,ANNANDALE NSW,NSW,2038,Metro,Capital,-33.88123,151.17057
225314,APPIN LPO,LPO,OPEN,,SHOP 4 & 5 73 APPIN ROAD,APPIN NSW,NSW,2560,Metro,Capital,-34.200797,150.787374
225381,ARIAH PARK LPO,LPO,OPEN,,44 COOLAMON STREET,ARIAH PARK NSW,NSW,2665,Rural,Other Rural,-34.34813,147.22122
225410,ARMIDALE POST SHOP,RP,OPEN,,158 BEARDY STREET,ARMIDALE NSW,NSW,2350,Rural,Small Rural,-30.51361,151.6672
225517,ARTARMON POST SHOP,RP,OPEN,,64 HAMPDEN ROAD,ARTARMON NSW,NSW,2064,Metro,Capital,-33.80942,151.18555
225533,ASHFIELD POST SHOP,RP,OPEN,ASHFIELD MALL,SHOP 59 LEVEL 4 260A LIVERPOOL ROAD,ASHFIELD NSW,NSW,2131,Metro,Capital,-33.88932,151.12545
225568,ASHFORD LPO,LPO,OPEN,,30-32 ALBURY STREET,ASHFORD NSW,NSW,2361,Rural,Other Rural,-29.32112,151.09569
225584,ASQUITH LPO,LPO,OPEN,,1 AMOR STREET,ASQUITH NSW,NSW,2077,Metro,Capital,-33.68757,151.10836
225592,ATTUNGA LPO,LPO,OPEN,,5 MANILLA ROAD,ATTUNGA NSW,NSW,2345,Rural,Other Rural,-30.93102,150.84802
225605,AUBURN POST SHOP,RP,OPEN,AUBURN CENTRAL,SHOP 5 57P QUEEN STREET,AUBURN NSW,NSW,2144,Metro,Capital,-33.849192,151.03081
225656,AUSTINMER LPO,LPO,OPEN,AUSTINMER NEWSAGENCY,102 LAWRENCE HARGRAVE DRIVE,AUSTINMER NSW,NSW,2515,Metro,Other Metro,-34.30632,150.93446
225664,AUSTRAL LPO,LPO,OPEN,,248 EDMONDSON AVENUE,AUSTRAL NSW,NSW,2179,Metro,Capital,-33.93198,150.81186
225672,AUSTRALIAN NATIONAL UNI LPO,LPO,OPEN,,16 UNIVERSITY AVENUE,ACTON ACT,ACT,2601,Metro,Capital,-35.277233,149.121514
225680,AVALON BEACH POST SHOP,RP,OPEN,,45 AVALON PARADE,AVALON BEACH NSW,NSW,2107,Metro,Capital,-33.63622,151.32854
225699,AVOCA BEACH LPO,LPO,OPEN,,UNIT 1 181 AVOCA DRIVE,AVOCA BEACH NSW,NSW,2251,Metro,Capital,-33.450348,151.36238
225744,BALGOWLAH POST SHOP,RP,OPEN,,SHOP 9 318 SYDNEY ROAD,BALGOWLAH NSW,NSW,2093,Metro,Capital,-33.79438,151.26566
225752,BALGOWLAH HEIGHTS LPO,LPO,OPEN,,69 NEW STREET W,BALGOWLAH HEIGHTS NSW,NSW,2093,Metro,Capital,-33.80068,151.25737
225779,BALGOWNIE LPO,LPO,OPEN,,158 BALGOWNIE ROAD,BALGOWNIE NSW,NSW,2519,Metro,Other Metro,-34.38882,150.87776
225795,BALLDALE LPO,LPO,OPEN,,LOT 628 RAILWAY STREET,BALLDALE NSW,NSW,2646,Rural,Other Rural,-35.84549,146.51853
225824,BALLINA POST SHOP,RP,OPEN,,85 TAMAR STREET,BALLINA NSW,NSW,2478,Rural,Small Rural,-28.8691,153.55945
225832,BALMAIN POST SHOP,RP,OPEN,,366B DARLING STREET,BALMAIN NSW,NSW,2041,Metro,Capital,-33.85652,151.17775
225883,BANKSIA LPO,LPO,OPEN,,18 RAILWAY STREET,BANKSIA NSW,NSW,2216,Metro,Capital,-33.94475,151.14029
225920,AUSTRALIA SQUARE POST SHOP,RP,OPEN,GOURMET CIRCLE,264A-278 GEORGE STREET,SYDNEY NSW,NSW,2000,Metro,Capital,-33.86476,151.20719
226018,BANKSTOWN POST SHOP,RP,OPEN,,20 RESTWELL STREET,BANKSTOWN NSW,NSW,2200,Metro,Capital,-33.919166,151.035365
226026,BANORA POINT LPO,LPO,OPEN,BANORA SHOPPING VILLAGE,SHOP 6 59-71 DARLINGTON DRIVE,BANORA POINT NSW,NSW,2486,Metro,Other Metro,-28.214028,153.541184
226042,BARDWELL PARK LPO,LPO,OPEN,,2 HARTILL-LAW AVENUE,BARDWELL PARK NSW,NSW,2207,Metro,Capital,-33.93182,151.12545
226050,BARELLAN LPO,LPO,OPEN,,108 YAPUNYAH STREET,BARELLAN NSW,NSW,2665,Rural,Other Rural,-34.28439,146.5715
226069,BARGO LPO,LPO,OPEN,,207 SOUTHERN ROAD,BARGO NSW,NSW,2574,Metro,Capital,-34.28962,150.58036
226085,BARMEDMAN LPO,LPO,OPEN,,60 QUEEN STREET,BARMEDMAN NSW,NSW,2668,Rural,Other Rural,-34.14436,147.38662
226106,BAROOGA LPO,LPO,OPEN,,12-14 VERMONT STREET,BAROOGA NSW,NSW,3644,Rural,Other Rural,-35.91278,145.68857
226165,BASS HILL LPO,LPO,OPEN,BASS HILL PLAZA,SHOP 64 753 HUME HIGHWAY,BASS HILL NSW,NSW,2197,Metro,Capital,-33.899821,150.993183
226173,BATEAU BAY LPO,LPO,OPEN,BATEAU BAY SHOPPING CENTRE,SHOP 2 105 BATEAU BAY ROAD,BATEAU BAY NSW,NSW,2261,Metro,Capital,-33.38172,151.48094
226181,BATEHAVEN LPO,LPO,OPEN,,248 BEACH ROAD,BATEHAVEN NSW,NSW,2536,Rural,Other Rural,-35.732313,150.199119
226202,BATEMANS BAY POST SHOP,RP,OPEN,,7 ORIENT STREET,BATEMANS BAY NSW,NSW,2536,Rural,Other Rural,-35.70663,150.17829
226210,BATHURST POST SHOP,RP,OPEN,,230 HOWICK STREET,BATHURST NSW,NSW,2795,Rural,Small Rural,-33.41163,149.57597
226237,BATHURST WEST LPO,LPO,OPEN,,300 STEWART STREET,BATHURST NSW,NSW,2795,Rural,Small Rural,-33.4195,149.5672
226253,BAULKHAM HILLS POST SHOP,RP,OPEN,STOCKLAND MALL,SHOPS 61-62 375-383 WINDSOR ROAD,BAULKHAM HILLS NSW,NSW,2153,Metro,Capital,-33.75936,150.99084
226325,BEECHWOOD LPO,LPO,OPEN,,733 BEECHWOOD ROAD,BEECHWOOD NSW,NSW,2446,Rural,Large Rural,-31.4364,152.67839
226341,BEELBANGERA LPO,LPO,OPEN,,2-4 RICHARDS STREET,BEELBANGERA NSW,NSW,2680,Rural,Small Rural,-34.25379,146.10173
226368,BEGA POST SHOP,RP,OPEN,,150 CARP STREET,BEGA NSW,NSW,2550,Rural,Other Rural,-36.67444,149.84321
226392,BELFIELD LPO,LPO,OPEN,,18 BURWOOD ROAD,BELFIELD NSW,NSW,2191,Metro,Capital,-33.90252,151.08395
226448,BANKSTOWN CENTRAL POST OFFICE,RP,OPEN,CENTRO BANKSTOWN,SHOP 12 LEVEL 3 1 NORTH TERRACE,BANKSTOWN NSW,NSW,2200,Metro,Capital,-33.915753,151.040821
226480,BELCONNEN POST SHOP,RP,OPEN,WESTFIELD SHOPPING CENTRE,SHOP 23 LEVEL 2 20 BENJAMIN WAY,BELCONNEN ACT,ACT,2617,Metro,Capital,-35.23754,149.0663
226528,BELLATA LPO,LPO,OPEN,,LOT 1 RAILWAY PARADE,BELLATA NSW,NSW,2397,Rural,Other Rural,-29.9199,149.79113
226536,BELROSE WEST LPO,LPO,OPEN,GLENROSE VILLAGE SHOPPING CENTRE,SHOP 3 56-58 GLEN STREET,BELROSE NSW,NSW,2085,Metro,Capital,-33.740464,151.209837
226552,BELLBROOK CPA,CPA,OPEN,,29 MAIN STREET,BELLBROOK NSW,NSW,2440,Rural,Other Rural,-30.81827,152.50863
226560,BELLEVUE HILL LPO,LPO,OPEN,,SHOP 2 1 BELLEVUE ROAD,BELLEVUE HILL NSW,NSW,2023,Metro,Capital,-33.879794,151.248644
226587,BELMONT POST SHOP,RP,OPEN,,18-22 MACQUARIE STREET,BELMONT NSW,NSW,2280,Metro,Other Metro,-33.0361,151.66083
226640,BEMBOKA LPO,LPO,OPEN,,68 LOFTUS STREET,BEMBOKA NSW,NSW,2550,Rural,Other Rural,-36.63012,149.573
226675,BEROWRA HEIGHTS LPO,LPO,OPEN,BEROWRA VILLAGE SHOPPING CENTRE,SHOP 17 1 TURNER ROAD,BEROWRA HEIGHTS NSW,NSW,2082,Metro,Capital,-33.612975,151.139132
226683,BENDEMEER LPO,LPO,OPEN,,109-111 CAROLINE STREET,BENDEMEER NSW,NSW,2355,Rural,Other Rural,-30.88067,151.16034
226712,BERALA LPO,LPO,OPEN,,158 WOODBURN ROAD,BERALA NSW,NSW,2141,Metro,Capital,-33.87129,151.03185
226747,CHITTAWAY BAY LPO,LPO,OPEN,CHITTAWAY CENTRE,SHOP 12 100 CHITTAWAY ROAD,CHITTAWAY BAY NSW,NSW,2261,Metro,Capital,-33.327179,151.429951
226763,BERMAGUI LPO,LPO,OPEN,,UNIT 1 2 WALLAGA STREET,BERMAGUI NSW,NSW,2546,Rural,Other Rural,-36.427111,150.07737
226771,BEROWRA LPO,LPO,OPEN,,10A BEROWRA WATERS ROAD,BEROWRA NSW,NSW,2081,Metro,Capital,-33.62347,151.14983
226798,BERRIDALE LPO,LPO,OPEN,,24 MYACK STREET,BERRIDALE NSW,NSW,2628,Rural,Other Rural,-36.36975,148.83043
226819,BERRIMA LPO,LPO,OPEN,,9 OLD HUME HIGHWAY,BERRIMA NSW,NSW,2577,Rural,Other Rural,-34.486553,150.33868
226878,BEXHILL LPO,LPO,OPEN,,85 COLEMAN STREET,BEXHILL NSW,NSW,2480,Rural,Large Rural,-28.762534,153.347183
226894,BEXLEY NORTH LPO,LPO,OPEN,,17 SHAW STREET,BEXLEY NORTH NSW,NSW,2207,Metro,Capital,-33.93832,151.11355
226907,BEXLEY SOUTH LPO,LPO,OPEN,,648A FOREST ROAD,BEXLEY SOUTH NSW,NSW,2207,Metro,Capital,-33.96012,151.11715
227010,BIGGA CPA,CPA,OPEN,,1 BINDA STREET,BIGGA NSW,NSW,2583,Rural,Other Rural,-34.08476,149.14926
227029,BILBUL CPA,CPA,OPEN,,1 MIRROOL STREET,BILBUL NSW,NSW,2680,Rural,Small Rural,-34.27331,146.13785
227045,BILPIN LPO,LPO,OPEN,,2482 BELLS LINE OF ROAD,BILPIN NSW,NSW,2758,Metro,Capital,-33.497599,150.52192
227061,BINALONG LPO,LPO,OPEN,,28 FITZROY STREET,BINALONG NSW,NSW,2584,Rural,Other Rural,-34.669758,148.633873
227088,BINDA LPO,LPO,OPEN,,11 QUEEN STREET,BINDA NSW,NSW,2583,Rural,Other Rural,-34.33264,149.36729
227125,BINYA LPO,LPO,OPEN,,7 FRANCIS STREET,BINYA NSW,NSW,2665,Rural,Other Rural,-34.22767,146.33753
227168,BIRRONG LPO,LPO,OPEN,,3/89 AUBURN ROAD,BIRRONG NSW,NSW,2143,Metro,Capital,-33.89052,151.02255
227176,BLACKALLS PARK LPO,LPO,OPEN,BLACKALLS PARK SHOPPING CENTRE,SHOP 15 21 SOUTH PARADE,BLACKALLS PARK NSW,NSW,2283,Metro,Other Metro,-33.000537,151.584489
227205,BLACKSMITHS LPO,LPO,OPEN,,80 TUREA STREET,BLACKSMITHS NSW,NSW,2281,Metro,Other Metro,-33.07871,151.65013
227221,BLACKTOWN POST SHOP,RP,OPEN,,22 MAIN STREET,BLACKTOWN NSW,NSW,2148,Metro,Capital,-33.76892,150.90763
227299,BLAKEHURST LPO,LPO,OPEN,,SHOP 5 637 PRINCES HIGHWAY,BLAKEHURST NSW,NSW,2221,Metro,Capital,-33.98892,151.11225
227328,BLAXCELL LPO,LPO,OPEN,,SHOP 18 12 DELLWOOD STREET,SOUTH GRANVILLE NSW,NSW,2142,Metro,Capital,-33.853628,151.008843
227408,BODALLA LPO,LPO,OPEN,,66A PRINCES HIGHWAY,BODALLA NSW,NSW,2545,Rural,Other Rural,-36.087688,150.050468
227432,BLAXLAND EAST LPO,LPO,OPEN,,2 NORMIC AVENUE,BLAXLAND NSW,NSW,2774,Metro,Capital,-33.745818,150.62233
227491,BOGANGAR LPO,LPO,OPEN,,SHOP 1 47 COAST ROAD,BOGANGAR NSW,NSW,2488,Rural,Other Rural,-28.33229,153.56935
227504,BOGAN GATE LPO,LPO,OPEN,,45-47 STATION STREET,BOGAN GATE NSW,NSW,2876,Rural,Other Rural,-33.10776,147.80898
227555,BOMADERRY LPO,LPO,OPEN,BOMADERRY PLAZA,SHOP 20 73 MEROO STREET,BOMADERRY NSW,NSW,2541,Rural,Small Rural,-34.85523,150.60841
227571,BONALBO LPO,LPO,OPEN,,3 KOREELAH STREET,BONALBO NSW,NSW,2469,Rural,Other Rural,-28.73661,152.62256
227600,BONDI BEACH POST SHOP,RP,OPEN,,20 HALL STREET,BONDI BEACH NSW,NSW,2026,Metro,Capital,-33.89072,151.27295
227619,BONDI JUNCTION POST SHOP,RP,OPEN,EASTGATE SHOPPING CENTRE,SHOP 28 71-73 SPRING STREET,BONDI JUNCTION NSW,NSW,2022,Metro,Capital,-33.892533,151.247863
227635,TAMARAMA LPO,LPO,OPEN,,32D FLETCHER STREET,TAMARAMA NSW,NSW,2026,Metro,Capital,-33.89722,151.27095
227643,BONNYRIGG LPO,LPO,OPEN,BONNYRIGG PLAZA,SHOP 44 100 BONNYRIGG AVENUE,BONNYRIGG NSW,NSW,2177,Metro,Capital,-33.888055,150.887272
227678,BONVILLE LPO,LPO,OPEN,,340 PINE CREEK WAY,BONVILLE NSW,NSW,2450,Rural,Small Rural,-30.371676,153.035292
227731,WOODRISING LPO,LPO,OPEN,WOODRISING SHOPPING VILLAGE,SHOP 8 84 HAYDEN BROOK ROAD,BOORAGUL NSW,NSW,2284,Metro,Other Metro,-32.98139,151.60582
227782,BORENORE CPA,CPA,OPEN,,1209 THE ESCORT WAY,BORENORE NSW,NSW,2800,Rural,Other Rural,-33.246077,148.971012
227790,BORONIA PARK LPO,LPO,OPEN,,97 PITTWATER ROAD,HUNTERS HILL NSW,NSW,2110,Metro,Capital,-33.82233,151.134499
227838,BOTANY POST SHOP,RP,OPEN,,2 BANKSIA STREET,BOTANY NSW,NSW,2019,Metro,Capital,-33.94442,151.19715
227862,BOWENFELS LPO,LPO,OPEN,,341A MAIN STREET,LITHGOW NSW,NSW,2790,Rural,Small Rural,-33.48273,150.13964
228013,BOWNING LPO,LPO,OPEN,,115 BOWNING ROAD,BOWNING NSW,NSW,2582,Rural,Other Rural,-34.76834,148.815
228021,BOWRAL POST SHOP,RP,OPEN,,260 BONG BONG STREET,BOWRAL NSW,NSW,2576,Rural,Other Rural,-34.47826,150.41798
228128,BREDBO CPA,CPA,OPEN,BREDBO SERVICE STATION AND GENERAL STORE,29 COOMA STREET,BREDBO NSW,NSW,2626,Rural,Other Rural,-35.95848,149.15001
228187,BRINGELLY LPO,LPO,OPEN,,1197 THE NORTHERN ROAD,BRINGELLY NSW,NSW,2556,Metro,Capital,-33.940466,150.731841
228208,BROADWATER LPO,LPO,OPEN,,7-9 PACIFIC HIGHWAY,BROADWATER NSW,NSW,2472,Rural,Other Rural,-29.0104,153.43535
228216,BROADWAY POST SHOP,RP,OPEN,THE BROADWAY SHOPPING CENTRE,SHOP 21G 1-21 BAY STREET,GLEBE NSW,NSW,2037,Metro,Capital,-33.883707,151.193816
228232,BROKE LPO,LPO,OPEN,,4 WOLLOMBI STREET,BROKE NSW,NSW,2330,Rural,Small Rural,-32.750488,151.103309
228240,BROKEN HILL POST SHOP,RP,OPEN,,260 ARGENT STREET,BROKEN HILL NSW,NSW,2880,Rural,Small Rural,-31.95816,141.4655
228259,BROKEN HILL NORTH LPO,LPO,OPEN,,278 MCCULLOCH STREET,BROKEN HILL NSW,NSW,2880,Rural,Small Rural,-31.94086,141.46985
228283,BROOKLYN LPO,LPO,OPEN,,3 BRIDGE STREET,BROOKLYN NSW,NSW,2083,Metro,Capital,-33.54798,151.22621
228304,BROWNSVILLE LPO,LPO,OPEN,DANDALOO VILLAGE SHOPPING CENTRE,SHOP 5 41-49 BROWNSVILLE AVENUE,BROWNSVILLE NSW,NSW,2530,Metro,Other Metro,-34.4859,150.8062
228339,BUDGEWOI LPO,LPO,OPEN,BUDGEWOI SHOPPING CENTRE,SHOP 1 73 SCENIC DRIVE,BUDGEWOI NSW,NSW,2262,Metro,Capital,-33.2344,151.55521
228355,BRADBURY LPO,LPO,OPEN,BRADBURY SHOPPING CENTRE,SHOP 10A 100 THE PARKWAY,BRADBURY NSW,NSW,2560,Metro,Capital,-34.08488,150.812591
228590,BUNDARRA LPO,LPO,OPEN,,27 BENDEMEER STREET,BUNDARRA NSW,NSW,2359,Rural,Other Rural,-30.17142,151.0758
228603,BUNDEENA LPO,LPO,OPEN,,SHOP 3 22-30 BRIGHTON STREET,BUNDEENA NSW,NSW,2230,Metro,Capital,-34.084609,151.151733
228611,BUNGENDORE LPO,LPO,OPEN,,53 GIBRALTAR STREET,BUNGENDORE NSW,NSW,2621,Rural,Other Rural,-35.25414,149.4424
228646,BUNGWAHL CPA,CPA,OPEN,BUNGWAHL GENERAL STORE,2600 THE LAKES WAY,BUNGWAHL NSW,NSW,2423,Rural,Small Rural,-32.38744,152.44389
228662,BURCHER LPO,LPO,OPEN,,LOT 1 BENA STREET,BURCHER NSW,NSW,2671,Remote,Other Remote,-33.51495,147.25313
228750,BURRILL LAKE LPO,LPO,OPEN,,117 PRINCES HIGHWAY,BURRILL LAKE NSW,NSW,2539,Rural,Small Rural,-35.38673,150.44988
228769,BURRINGBAR LPO,LPO,OPEN,,23 BROADWAY,BURRINGBAR NSW,NSW,2483,Rural,Other Rural,-28.43445,153.47064
228785,BURRUMBUTTOCK LPO,LPO,OPEN,,LOT 2 URANA ROAD,BURRUMBUTTOCK NSW,NSW,2642,Rural,Other Rural,-35.86552,146.82683
228793,BURWOOD POST SHOP,RP,OPEN,BURWOOD PLAZA,SHOP 5 42 RAILWAY PARADE,BURWOOD NSW,NSW,2134,Metro,Capital,-33.87739,151.10225
228806,BUXTON CPA,CPA,OPEN,,SHOP 1 49 EAST PARADE,BUXTON NSW,NSW,2571,Metro,Capital,-34.25603,150.53369
228830,BYROCK LPO,LPO,OPEN,,MITCHELL HIGHWAY,BYROCK NSW,NSW,2831,Remote,Other Remote,-30.65683,146.40233
228849,BYRON BAY POST SHOP,RP,OPEN,,61 JONSON STREET,BYRON BAY NSW,NSW,2481,Rural,Other Rural,-28.6437,153.61244
228996,CALLALA BEACH LPO,LPO,OPEN,,SHOP 19 55 EMMETT STREET,CALLALA BAY NSW,NSW,2540,Rural,Small Rural,-34.995226,150.717382
229016,CABRAMATTA POST SHOP,RP,OPEN,COMMERCIAL CENTRE,SHOPS 6-8 71 ARTHUR STREET,CABRAMATTA NSW,NSW,2166,Metro,Capital,-33.89482,150.93555
229040,CABRAMURRA LPO,LPO,OPEN,,1 MURRALIN ROAD,CABRAMURRA NSW,NSW,2629,Rural,Other Rural,-35.93965,148.38653
229059,CAMBEWARRA LPO,LPO,OPEN,,79 MAIN ROAD,CAMBEWARRA NSW,NSW,2540,Rural,Small Rural,-34.82273,150.55877
229067,WERRINGTON COUNTY LPO,LPO,OPEN,WERRINGTON COUNTY SHOPPING CENTRE,SHOP 10A 1 DUNHEVED ROAD,WERRINGTON COUNTY NSW,NSW,2747,Metro,Capital,-33.742579,150.718075
229075,CAMDEN POST SHOP,RP,OPEN,,135 ARGYLE STREET,CAMDEN NSW,NSW,2570,Metro,Capital,-34.05472,150.69526
229112,CAMPBELL LPO,LPO,OPEN,,SHOP 4 32 BLAMEY PLACE,CAMPBELL ACT,ACT,2612,Metro,Capital,-35.28918,149.15347
229139,CAMPBELLTOWN POST SHOP,RP,OPEN,,14 DUMARESQ STREET,CAMPBELLTOWN NSW,NSW,2560,Metro,Capital,-34.06728,150.81252
229147,CAMPBELLTOWN NORTH LPO,LPO,OPEN,,UNIT 1 66 CHAMBERLAIN STREET,CAMPBELLTOWN NSW,NSW,2560,Metro,Capital,-34.06577,150.825029
229163,CAMPSIE POST SHOP,RP,OPEN,CAMPSIE CENTRE,SHOP 44 14-28 AMY STREET,CAMPSIE NSW,NSW,2194,Metro,Capital,-33.91122,151.10275
229219,CANBERRA GPO POST SHOP,RP,OPEN,,53 ALINGA STREET,CANBERRA ACT,ACT,2601,Metro,Capital,-35.27794,149.128
229227,CANDELO LPO,LPO,OPEN,,52-54 WILLIAM STREET,CANDELO NSW,NSW,2550,Rural,Other Rural,-36.76717,149.69519
229235,CANLEY HEIGHTS LPO,LPO,OPEN,CANLEY HEIGHTS SHOPPING CENTRE,SHOP 1 203 CANLEY VALE ROAD,CANLEY HEIGHTS NSW,NSW,2166,Metro,Capital,-33.88422,150.92695
229243,CANLEY VALE LPO,LPO,OPEN,,SHOP 4 12 CANLEY VALE ROAD,CANLEY VALE NSW,NSW,2166,Metro,Capital,-33.88712,150.94215
229307,CARAGABAL CPA,CPA,OPEN,,WYALONG STREET,CARAGABAL NSW,NSW,2810,Rural,Other Rural,-33.83175,147.73451
229315,CARCOAR LPO,LPO,OPEN,,1 BELUBULA STREET,CARCOAR NSW,NSW,2791,Rural,Other Rural,-33.60996,149.14016
229323,CARDIFF POST SHOP,RP,OPEN,,337A MAIN ROAD,CARDIFF NSW,NSW,2285,Metro,Other Metro,-32.93951,151.65933
229518,CARGO CPA,CPA,OPEN,,LOT 2 FORBES STREET,CARGO NSW,NSW,2800,Rural,Other Rural,-33.424078,148.8082
229534,CARINGBAH POST SHOP,RP,OPEN,,341 KINGSWAY,CARINGBAH NSW,NSW,2229,Metro,Capital,-34.04202,151.12215
229569,CARLTON LPO,LPO,OPEN,,UNIT 6 46 CARLTON PARADE,CARLTON NSW,NSW,2218,Metro,Capital,-33.967878,151.123727
229585,CARRAMAR LPO,LPO,OPEN,,138 WATTLE AVENUE,CARRAMAR NSW,NSW,2163,Metro,Capital,-33.88465,150.96166
229657,CASINO POST SHOP,RP,OPEN,,102 BARKER STREET,CASINO NSW,NSW,2470,Rural,Small Rural,-28.8648,153.04716
229673,CASINO WEST LPO,LPO,OPEN,CASINO WEST NEWSAGENCY,53 HOTHAM STREET,CASINO NSW,NSW,2470,Rural,Small Rural,-28.85871,153.03756
229681,CASSILIS LPO,LPO,OPEN,,9-13 BRANKSOME STREET,CASSILIS NSW,NSW,2329,Rural,Other Rural,-32.007244,149.981443
229702,CASTLECRAG LPO,LPO,OPEN,,SHOP 6 100 EDINBURGH ROAD,CASTLECRAG NSW,NSW,2068,Metro,Capital,-33.802734,151.212237
229710,CASTLE HILL POST SHOP,RP,OPEN,,284 OLD NORTHERN ROAD,CASTLE HILL NSW,NSW,2154,Metro,Capital,-33.73215,151.00548
229737,CATHCART CPA,CPA,OPEN,THE NORMAN GEORGE SUMMERELL SON'S STORE,EDEN STREET,CATHCART NSW,NSW,2632,Rural,Other Rural,-36.83754,149.39002
229796,CENTRAL TILBA LPO,LPO,OPEN,,2 BATE STREET,CENTRAL TILBA NSW,NSW,2546,Rural,Other Rural,-36.31164,150.07466
229809,CESSNOCK POST SHOP,RP,OPEN,CESSNOCK MARKET PLACE,SHOP 16 205 WOLLOMBI ROAD,CESSNOCK NSW,NSW,2325,Metro,Other Metro,-32.83299,151.35404
229833,CHARLESTOWN POST SHOP,RP,OPEN,THE MALL,46 PEARSON STREET,CHARLESTOWN NSW,NSW,2290,Metro,Other Metro,-32.96522,151.69466
229868,CHATHAM LPO,LPO,OPEN,,1 STOKES CIRCUIT,TAREE NSW,NSW,2430,Rural,Small Rural,-31.89842717,152.4758252
229884,CARLINGFORD NORTH LPO,LPO,OPEN,,UNIT 2 500 NORTH ROCKS ROAD,CARLINGFORD NSW,NSW,2118,Metro,Capital,-33.76467,151.057942
